pos;Nom équipe;Temps Etape 1;Temps Etape 2;Temps Etape 3;Temps Etape 4;Temps Total
1;DAMVANT TOUT PUISSANT;01:29:05.08;01:19:19.09;;;02:48:24.17
;Juillard  Arnaud 
;Pape juillard Chantal 
2;PILOUGA;01:32:12.77;01:21:40.45;;;02:53:53.22
;Grolimund  Pierre
;Stebler Gaëlle
3;RUN FASTA, EAT PASTA;01:35:52.04;01:21:49.78;;;02:57:41.82
;Chappuis Yann
;Chappuis Jenna
4;LES SHLUK.;01:37:03.17;01:25:20.44;;;03:02:23.61
;Ory Melvin
;Fleury Joana
5;COCCICLEM;01:38:01.55;01:27:24.16;;;03:05:25.71
;Aubry Colin 
;Bourzeis Clemence
6;TEAM FJ;01:41:48.14;01:28:49.24;;;03:10:37.38
;Venzin Jonas
;Stadelmann Fiona
7;DEB-S TEAM;01:46:23.19;01:31:39.04;;;03:18:02.23
;Desboeufs Sandrine
;Desboeufs  Loan
8;DAMVANT TOUT PUISSANT 2;01:35:58.10;01:54:58.15;;;03:30:56.25
;Juillard  Isaure
;Travers Antoine
